The Pied Pipers,"Lambert, Hendricks & Ross"
Michael Hurley,Cat Power
The Replacements,The Lemonheads
Guy,Jodeci
Cock Sparrer,Agnostic Front
Paul Simon,David Byrne
GWAR,Marilyn Manson
Big Audio Dynamite,Massive Attack
TLC,Ashanti
"Oscar Brown, Jr.",Lou Rawls
Miles Davis,Van der Graaf Generator
Metallica,Sevendust
Leon Russell,Billy Joel
Slade,Cock Sparrer
Little Willie John,Al Green
Bernard Herrmann,Henry Mancini
Ornette Coleman,Sam Rivers
Jeff Beck,Living Colour
The Cure,Flesh for Lulu
George Carlin,Sam Kinison
The Pretty Things,Camel
Aphex Twin,Mm
Triumph,Dream Theater
Vince Gill,Suzy Bogguss
Dizzy Gillespie,Albert Ayler
Eros Ramazzotti,Marc Anthony
Wendy & Lisa,The Pussycat Dolls
Ennio Morricone,DeVotchKa
Candlebox,Chevelle
The Faint,Portugal. The Man
Fairport Convention,Clannad
The Rutles,Flight of the Conchords
Jean Ritchie,June Carter Cash
Roberta Flack,En Vogue
Mary J. Blige,Kelly Price
George Russell,Sam Rivers
Ornette Coleman,Jackie McLean
Jackie Wilson,Brenton Wood
Merle Travis,Chet Atkins
Smokey Robinson & the Miracles,Take 6
Hank Williams,Freedy Johnston
Bread,Boy George
Vassar Clements,Peter Rowan
The Weirdos,Black Flag
Steve Goodman,Jill Sobule
Jonathan Richman,Talking Heads
Big Youth,Shabba Ranks
The Staple Singers,The Rolling Stones
Lynyrd Skynyrd,Blind Melon
The Beach Boys,Grizzly Bear
Marlene Dietrich,The Dresden Dolls
Jonathan Richman,The Feelies
The Coasters,Archie Bell & the Drells
Venom,3 Inches of Blood
Dave Edmunds,Juice Newton
Pixies,Modest Mouse
Fugazi,Bright Eyes
XTC,Jesus Jones
The Archies,The Dictators
Nick Drake,James Blunt
The Clash,Pete Townshend
Robert Wyatt,Luna
Billy Preston,John Legend
Simple Minds,Jars of Clay
Alice in Chains,Bullet for My Valentine
MC5,Pearl Jam
Woody Guthrie,Peggy Seeger
Can,Wire
Jackson Browne,Kenny Loggins
Miles Davis,Robert Wyatt
Led Zeppelin,Green River
Billy Eckstine,Tony Bennett
The Rolling Stones,Blondie
Andra Crouch,BeBe Winans
The Doors,Jerry Cantrell
Steve Earle,Bob Schneider
Iggy Pop,Nada Surf
The Velvet Underground,The Brian Jonestown Massacre
Burl Ives,The New Christy Minstrels
Bo Diddley,Dave Edmunds
Bruce Dickinson,Annihilator
Sandie Shaw,Kirsty MacColl
Marvin Gaye,Calvin Richardson
Jacques Dutronc,Sbastien Tellier
Free,King's X
Lalo Schifrin,Salaam Remi
Patsy Cline,Jana Kramer
The Meters,Jaco Pastorius
Leonard Cohen,Deer Tick
The Kinks,Van Halen
Prince Buster,U-Roy
Nina Simone,Hozier
Nine Inch Nails,Hollywood Undead
The Kinks,Dire Straits
Cheap Trick,Off Broadway
Deftones,Stone Sour
Cannonball Adderley,The Memphis Horns
Bob Dylan,World Party
The Staple Singers,Spiritualized
Dave Stewart,Hot Chip
Ron Carter,Miroslav Vitous
Lena Horne,Dionne Warwick
Minnie Riperton,Tweet
Lola Beltrn,Juan Gabriel
Fred Neil,Buffalo Springfield
The Isley Brothers,Chic
Herbie Hancock,Mulgrew Miller
Miles Davis,Lenny White
Bob Dylan,Josh Ritter
Sex Pistols,Sepultura
The Exploited,Dropkick Murphys
Elvis Presley,The Kingsmen
Mint Condition,Koffee Brown
Tower of Power,Spin Doctors
Chet Atkins,Mac McAnally
Al B. Sure!,Usher
Underworld,Death in Vegas
The Rolling Stones,Texas Tornados
Sex Pistols,Faster Pussycat
Jeff Beck,Slash
Neil Young,Cold War Kids
Daniel Johnston,Sufjan Stevens
The Velvet Underground,Black Moth Super Rainbow
The Heptones,UB40
New Order,808 State
Harry Belafonte,Roaring Lion
The Moonglows,Neil Sedaka
Pantera,Clutch
Peter Hammill,The Fall
David Bowie,Sigue Sigue Sputnik
The Byrds,The Mamas & the Papas
Merle Haggard,Gary Allan
Nada Surf,The Bravery
Bathory,Emperor
Junior Kimbrough,North Mississippi Allstars
Don Covay,Bonnie Raitt
Smokey Robinson & the Miracles,Edwin Starr
Brian Eno,Patrick O'Hearn
Beth Orton,Badly Drawn Boy
Roy Orbison,Brian Poole & the Tremeloes
James Taylor,David Wilcox
Teena Marie,Angie Stone
The Kinks,The New Pornographers
ABC,Rick Astley
Jimmy Martin,Alison Krauss
Joy Division,The Jesus and Mary Chain
Joy Division,Arcade Fire
Martina McBride,Big & Rich
Right Said Fred,Backstreet Boys
The Allman Brothers Band,Sammy Kershaw
The Dave Brubeck Quartet,Pat Metheny Group
Lee Morgan,"Medeski, Martin & Wood"
Stanley Clarke,Wayman Tisdale
"Harry Connick, Jr.",Big Bad Voodoo Daddy
Lee Morgan,Roy Hargrove
Robert Palmer,Sade
Tony Bennett,Liza Minnelli
Percy Mayfield,Percy Sledge
Faith No More,Sugar Ray
Sly & the Family Stone,Sylvester
The Fugs,Discharge
The Velvet Underground,Richard Ashcroft
The Legendary Pink Dots,Rammstein
The Roches,Suzanne Vega
John Coltrane,Bennie Maupin
Mercury Rev,Girls
Joyce,Marisa Monte
dc Talk,Third Day
R.E.M.,Okkervil River
Aswad,Pato Banton
T. Rex,Stone Temple Pilots
Chet Atkins,Steve Wariner
Neu!,The Rockets
Roy Orbison,Johnny Rivers
Anita O'Day,Diana Krall
Vision of Disorder,Norma Jean
Switchfoot,Rend Collective
Eric Bent,Jaheim
Don Williams,Jesse Winchester
Rodney Crowell,Lee Ann Womack
Elvis Presley,The Fugs
Jack Kerouac,Richard Hell
Wire,Guided by Voices
Hank Williams,John Prine
Kiss,Trans-Siberian Orchestra
The Beatles,John Anderson
Vampire Weekend,Lord Huron
Beck,Kesha
Brian Eno,Jhann Jhannsson
Betty Carter,Jacky Terrasson
Talking Heads,Foals
The Rolling Stones,Blues Traveler
The Yardbirds,Rossington Collins Band
Sam & Dave,Ronnie Lane
Sam Cooke,Van Morrison
Steve Wariner,Keith Urban
The Breeders,Yeah Yeah Yeahs
The Flamingos,Ladysmith Black Mambazo
Burt Bacharach,Steely Dan
The Beatles,Rotary Connection
Ahmad Jamal,George Duke
Prince,Cody ChesnuTT
Bob Dylan,Billy Bragg
Bill Evans,The Sea and Cake
Liza Minnelli,Charlotte Church
Deerhunter,Vision
Sneaker Pimps,Diplo
Roy Orbison,Tom Petty
Guy,Tevin Campbell
Martina McBride,SHeDAISY
The Searchers,"Crosby, Stills & Nash"
Janet Jackson,Christina Milian
Elliott Smith,Ed Sheeran
SWV,Tamar Braxton
George Jones,Kenny Chesney
Bobby Brown,Monica
Pink Floyd,Mercury Rev
Jimi Hendrix,Chrome
Ted Nugent,Slash
Horace Andy,Snow
Bud Powell,Chick Corea
Discharge,Propagandhi
Dwight Yoakam,Robert Earl Keen
Frankie Avalon,The Monkees
The Presidents of the United States of America,Gym Class Heroes
Amy Winehouse,Daya
Marvin Gaye,R. Kelly
Mary Chapin Carpenter,Iris DeMent
Prince,Angie Stone
Brenda Russell,John Legend
The Beatles,Blur
New Order,The Stone Roses
Little Milton,Joe Tex
Meat Loaf,Cline Dion
I-Roy,Eek-A-Mouse
John Coltrane,Tom Scott
Charles Trnet,Jane Birkin
Mike Oldfield,Enya
Suicide,The Cars
Eric Dolphy,Sam Rivers
Big Mama Thornton,Little Richard
"Emerson, Lake & Palmer",Styx
Ravi Shankar,The Beatles
Roy Brown,Wilson Pickett
Jerry Butler,Bill Withers
Linda Ronstadt,k.d. lang
dith Piaf,Marianne Faithfull
Doc Watson,Roy Clark
Cream,The Marshall Tucker Band
Beck,The Lonely Island
The Band,Mark Knopfler
Todd Rundgren,Semisonic
Roxy Music,Grace Jones
Stanley Clarke,Thundercat
Jim Reeves,Freddy Fender
Otis Rush,ZZ Top
The Kingston Trio,The Limeliters
The Cure,Silver Jews
The 5th Dimension,The Osmonds
Bob Dylan,Pink Floyd
Ella Fitzgerald,Everything But the Girl
Clarence Carter,Marvin Sease
Nina Simone,Aretha Franklin
Public Image Ltd.,Big Audio Dynamite
Bad Company,Journey
John Klemmer,David Sanborn
Roxy Music,Wang Chung
Tom Jones,Bryan Ferry
Lee Morgan,Terence Blanchard
Sun Ra,Silver Apples
T-Bone Walker,Earl Hooker
Patti Smith,The Birthday Party
Black Sabbath,Fear Factory
Keri Hilson,Kat Graham
The Rolling Stones,Roxy Music
Townes Van Zandt,Tindersticks
Aretha Franklin,Natalie Cole
Restless Heart,Trick Pony
Shania Twain,Jessie James Decker
Indigo Girls,Joan Osborne
Ismal L,Johnny Clegg
Paul Anka,Leif Garrett
Cannonball Adderley,Ian Dury
Leon Russell,Elton John
Linton Kwesi Johnson,Joe Jackson
Deep Purple,Quiet Riot
Matthew Sweet,Fountains of Wayne
Jo Dee Messina,SHeDAISY
Lesley Gore,The Go-Go's
The Who,Big Star
The Jackson 5,The Go! Team
Leonard Cohen,Crime & the City Solution
Angelo Badalamenti,Goldfrapp
Rod Stewart,Lenny Kravitz
George Jones,Lee Greenwood
Bob Dylan,Tom Waits
Diana Ross,Patty Smyth
dith Piaf,Belinda Carlisle
T. Rex,Big Star
Marvin Gaye,Bruce Hornsby
Merle Haggard,Brooks & Dunn
The Beatles,The Damned
Wham!,*NSYNC
Silver Jews,The Cave Singers
David Bowie,Bauhaus
Desmond Dekker,Jonathan Richman
Madonna,Shakira
Slayer,Within Temptation
Faces,Swell Maps
Larry Norman,dc Talk
Marvin Gaye,Living Colour
The Beatles,Babyface
Peter Gabriel,Dave Matthews
Nirvana,Avril Lavigne
Styx,Night Ranger
Styx,Queensrche
Swans,Godspeed You! Black Emperor
Red Hot Chili Peppers,Candlebox
Elmore James,Keith Richards
The Beatles,Paul Stanley
The Fixx,The Killers
Boston,Rascal Flatts
The Byrds,Morrissey
Wanda Jackson,Jeannie C. Riley
UNKLE,Zero 7
Squeeze,Thompson Twins
Edwyn Collins,Richard Hawley
Lee Wiley,Anita O'Day
Motrhead,Sepultura
Sarah Vaughan,Aretha Franklin
Pete Townshend,Mick Ronson
Ric Ocasek,Foo Fighters
Robert Fripp,Trey Anastasio
Kylie Minogue,Natalie Imbruglia
Green Day,Good Charlotte
Jimmy Buffett,Drive-By Truckers
Duke Jordan,Kenny Drew
Nina Simone,Alice Smith
Chic,Daft Punk
Third Eye Blind,John Mayer
Neurosis,System of a Down
Sizzla,Collie Buddz
Brian Eno,The Rockets
Bud Powell,Kenny Drew
Smashing Pumpkins,Sleeping at Last
Jane Birkin,Keren Ann
Emmylou Harris,Kathy Mattea
Roy Brown,Squirrel Nut Zippers
Jimi Hendrix,Live
Madonna,Aqua
Madonna,Lady Gaga
John Coltrane,Yoko Ono
James Taylor,Air Supply
The Heptones,Israel Vibration
Slayer,Kreator
Led Zeppelin,Yngwie Malmsteen
The Animals,Tom Petty
Sam Cooke,Richie Havens
Paco de Luca,Gipsy Kings
D.R.I.,NOFX
Echo & the Bunnymen,Catherine Wheel
Bob Dylan,Daniel Lanois
Shinedown,10 Years
The Incredible String Band,Barclay James Harvest
Fela Kuti,Vampire Weekend
Danzig,Jerry Cantrell
Bee Gees,Of Montreal
The Clash,Living Colour
Anthony Hamilton,Nick Hakim
Zero 7,Tycho
R.E.M.,The Decemberists
Iggy Pop,Pixies
Jimmy Eat World,Boys Like Girls
Elton John,Def Leppard
Gregory Isaacs,Grace Jones
Wire,Sebadoh
Whitney Houston,Stacie Orrico
Slayer,At the Gates
Peter Gabriel,Enigma
Relient K,Boys Like Girls
Billy Joel,Bruce Hornsby
The Undertones,Ash
Robert Wyatt,Tuxedomoon
Dionne Farris,India.Arie
Leo Sayer,Debbie Gibson
Elvis Costello,INXS
Brand X,Level 42
1910 Fruitgum Company,Teenage Fanclub
Rush,Mastodon
The Clancy Brothers,Bob Dylan
Creedence Clearwater Revival,Pearl Jam
Brandi Carlile,Vanessa Hudgens
ABBA,Ace of Base
808 State,Death in Vegas
Weather Report,The Police
Neil Young,Daniel Lanois
Everclear,Thirty Seconds to Mars
James Brown,Commissioned
Stan Kenton,Bud Shank
Soft Machine,Egg
Stevie Wonder,Todd Rundgren
Candlebox,Seether
Billy Fury,Link Wray
Eurythmics,Bjrk
Isaac Hayes,Keith Sweat
Elton John,Patty Smyth
Jimmy Reed,Syl Johnson
Bad Brains,Fugazi
Tal Farlow,Bola Sete
Sting,Sia
Lester Young,Fred Anderson
Lone Justice,Rilo Kiley
Dicks,Butthole Surfers
Bobby Brown,Bell Biv DeVoe
Sun Ra,Sonic Youth
Weezer,Hey Monday
Daryl Hall & John Oates,ABC
Captain Beefheart,Gomez
Burl Ives,Tim Hardin
Merle Haggard,Marty Stuart
Soul Asylum,Everclear
Jawbreaker,Alkaline Trio
Dream Theater,A Perfect Circle
The Isley Brothers,The Gap Band
Guy Clark,Miranda Lambert
King Crimson,The Legendary Pink Dots
Charlie Sexton,The Jon Spencer Blues Explosion
John Anderson,Radney Foster
Charlie Parker,Joe Pass
Dionne Warwick,Cyndi Lauper
Smog,Calexico
Charlie Christian,Chet Atkins
Rollins Band,System of a Down
Carole King,Cat Power
"Hank Williams, Jr.",Alan Jackson
Wynonie Harris,The Skatalites
Jimmy Raney,Kenny Burrell
Slim Harpo,Jimmy Dawkins
Joo Gilberto,Jos Feliciano
Phil Ochs,Jackson C. Frank
Manu Chao,Molotov
The Moody Blues,King Crimson
Ella Fitzgerald,Cu
Dusty Springfield,Angela McCluskey
Astrud Gilberto,Cesria vora
Bad Religion,Thrice
Henry Mancini,Milton Nascimento
Jawbreaker,Say Anything
Scandal,Concrete Blonde
Circle Jerks,L7
Van der Graaf Generator,Coheed and Cambria
TLC,Kehlani
Red Hot Chili Peppers,The Expendables
Donny Hathaway,The Stylistics
Terry Riley,Penguin Cafe Orchestra
Babyface,Tyrese
Blackstreet,Pretty Ricky
Philip Glass,Arthur Russell
Willie Nelson,Natural Child
Ella Fitzgerald,Betty Carter
The Louvin Brothers,The SteelDrivers
George Jones,Alan Jackson
Aztec Camera,The Lightning Seeds
Garland Jeffreys,Circle Jerks
Louis Jordan,Jon Hendricks
Pentangle,Joanna Newsom
Negative Approach,Hatebreed
Supergrass,Muse
Biohazard,All That Remains
Oliver Nelson,David Sanborn
Joni Mitchell,Julia Fordham
Roy Orbison,Roger McGuinn
Beth Orton,Ane Brun
Michael Jackson,Kimbra
Genesis,Porcupine Tree
Sparks,Soft Cell
Mickey Gilley,Eddy Raven
Flatt & Scruggs,June Carter Cash
Creedence Clearwater Revival,The Black Crowes
Stone Temple Pilots,Our Lady Peace
Led Zeppelin,Dinosaur Jr.
Nancy Sinatra,Keren Ann
Jimi Hendrix,Parliament
Terry Riley,Jhann Jhannsson
Faith Evans,Rihanna
Cheap Trick,Hanoi Rocks
Catherine Wheel,Silversun Pickups
Cast,Coldplay
Slim Gaillard,Tom Waits
Gary Peacock,Miroslav Vitous
Frankie Lymon,Bee Gees
Isaac Hayes,Usher
Counting Crows,Maroon 5
Mountain,Corrosion of Conformity
Chris Montez,The Rivieras
John Cage,Louis and Bebe Barron
Brook Benton,The Temptations
Bauhaus,The Horrors
David Bowie,The Kooks
The Rolling Stones,The Feelies
"Lee ""Scratch"" Perry",Thievery Corporation
Johnny Paycheck,Tracy Byrd
Duane Eddy,George Harrison
Albert King,Cream
Big Audio Dynamite,The Chemical Brothers
Neil Young,Bright Eyes
The Louvin Brothers,The Del McCoury Band
R.E.M.,Soul Coughing
Destiny's Child,Ciara
Perry Como,Joel Grey
Pere Ubu,Pavement
Talk Talk,Godspeed You! Black Emperor
Bob Dylan,U2
Blue yster Cult,Coheed and Cambria
"Lee ""Scratch"" Perry",Big Audio Dynamite
Depeche Mode,VAST
U2,OneRepublic
Violent Femmes,Ween
Sex Pistols,Redd Kross
Foreigner,Pat Benatar
Dwight Yoakam,Trace Adkins
Jos Feliciano,Elvis Crespo
Roy Ayers,Faithless
Manfred Mann's Earth Band,Blues Traveler
Labelle,Boney M.
Os Mutantes,Pink Martini
Graham Nash,Tracy Chapman
Cowboy Mouth,Matchbox Twenty
Nick Cave,Mark Lanegan
Van Halen,Pantera
Tony Bennett,Bobby Vinton
The Clean,Wavves
Mtley Cre,Keel
Aretha Franklin,Betty Wright
Sarah Vaughan,Etta James
Beres Hammond,Wayne Wonder
Willie Nelson,Tracy Lawrence
Tammy Wynette,Kathy Mattea
The O'Jays,Loose Ends
Herman's Hermits,The Cowsills
Cocteau Twins,Jeff Buckley
The Killers,Paramore
Leo Kottke,Meat Puppets
John Cale,Cocteau Twins
Sheryl Crow,Missy Higgins
Link Wray,MC5
Wilson Pickett,Ken Boothe
Chuck Berry,Buck Owens
The Clash,Blur
Kraftwerk,Ryuichi Sakamoto
Bad Brains,Jane's Addiction
John Prine,Fred Eaglesmith
Marvin Gaye,Kool & the Gang
Depeche Mode,Pet Shop Boys
Cream,Joe Walsh
Death,Sepultura
Ian Tyson,Neil Young
Radiohead,Absofacto
Jeri Southern,Charlie Haden
Rage Against the Machine,System of a Down
U2,Melissa Etheridge
Prince Far I,Scientist
Curtis Mayfield,Dee Clark
Marshall Crenshaw,Fountains of Wayne
Gilberto Gil,Chico Csar
Brian Eno,The Cure
The Louvin Brothers,The Jordanaires
Gloria Jones,Soft Cell
The Jackson 5,New Kids on the Block
Bob James,Kim Waters
The Band,Counting Crows
New Edition,TGT
Bob Wills,Lee Roy Parnell
David Gates,Billy Ray Cyrus
Stevie Wonder,Paul Carrack
The Lightning Seeds,Camera Obscura
Odetta,Bonnie Raitt
Bobby Darin,Neil Diamond
Grateful Dead,Primus
Bo Diddley,The Residents
Bush,Godsmack
The Who,Dio
Trey Songz,Bando Jonez
Motrhead,Circle Jerks
Ferlin Husky,George Jones
R. Kelly,Akon
Merle Haggard,Earl Thomas Conley
The Velvet Underground,Atlas Sound
The Beach Boys,MGMT
Coldplay,Fleurie
Paul Anka,Chris Isaak
The Church,Mazzy Star
Steve Forbert,Ryan Adams
Every Avenue,Coheed and Cambria
Burt Bacharach,Hot Chocolate
Golden Earring,Within Temptation
Silver Apples,The Cars
Kiss,Pantera
Selena,Jennifer Lopez
Lynn Anderson,Pam Tillis
Johnny Horton,Don Williams
Pharrell Williams,The Pussycat Dolls
Santana,Matchbox Twenty
Mose Allison,Tom Waits
Joe Satriani,Metallica
Crazy Horse,Everything But the Girl
Shawn Colvin,Jewel
XTC,Matthew Sweet
Roberta Flack,Gregory Abbott
Fats Domino,"Harry Connick, Jr."
Michael Jackson,Eddie Murphy
The Beatles,Coldplay
Pat Metheny,Dave Koz
Guy Clark,Slaid Cleaves
Vickie Winans,Yolanda Adams
Faron Young,Merle Haggard
Chet Atkins,Jerry Reed
Laura Nyro,Labelle
Liza Minnelli,Donna Summer
Los Tigres del Norte,Los Lobos
Jackie Wilson,Al Green
Merle Haggard,Radney Foster
Jodeci,Ray J
Sade,India.Arie
Jerry Butler,The Intruders
Ace,Dire Straits
The Beatles,Roxette
Son House,Jack White
Cheap Trick,Supergrass
Lou Donaldson,"Medeski, Martin & Wood"
Orchestral Manoeuvres in the Dark,Erasure
Fela Kuti,Dirty Projectors
The Wailers,The Specials
Hank Williams,Rodney Crowell
Rick Springfield,Corey Hart
Teddy Riley,Bobby Brown
Spice Girls,Fifth Harmony
Anne Murray,Sheena Easton
Paul Simon,Iron and Wine
Duran Duran,Robyn
Townes Van Zandt,The Cave Singers
Peter Gabriel,Josh Groban
Ritchie Valens,Stray Cats
The Rolling Stones,Aerosmith
Manfred Mann,The Move
Eurythmics,Nena
Muddy Waters,Frank Zappa
Dr. Feelgood,The Jam
UFO,Saxon
Sam Cooke,Curtis Mayfield
Camper Van Beethoven,Cake
Abbey Lincoln,Cassandra Wilson
Slayer,Turbonegro
Wizzard,Paul Stanley
Bill Withers,Lenny Kravitz
Jaco Pastorius,Tony Levin
Bananarama,Sugababes
"Huey ""Piano"" Smith",Johnny Rivers
Otis Rush,Sam the Sham & the Pharaohs
Julie Andrews,Joel Grey
Townes Van Zandt,Josh Ritter
Shirley Horn,Cassandra Wilson
Sonny & Cher,Peaches & Herb
Annie Lennox,Rufus Wainwright
Fairport Convention,Beth Orton
Suzanne Vega,Sarah McLachlan
Jimi Hendrix,Built to Spill
Lester Young,Wayne Shorter
The Knack,Harvey Danger
Professor Longhair,Bobby Charles
Manu Chao,Juanes
Soul Asylum,Train
The Louvin Brothers,The Handsome Family
Jackie Mittoo,The Slackers
The Beau Brummels,The Monkees
The Temptations,Paul Carrack
The Spencer Davis Group,Brinsley Schwarz
Julio Iglesias,Eros Ramazzotti
Big Mama Thornton,Maria Muldaur
Joni Mitchell,Brian Blade
Mick Jagger,Robert Palmer
Green Day,Midtown
Hsker D,Jawbreaker
Otis Redding,Bee Gees
Marvin Gaye,Commodores
Manowar,Within Temptation
Pink Floyd,The Verve
Joe Strummer,Rancid
Kate Bush,Feist
Ben Harper,O.A.R.
Dillard & Clark,Linda Ronstadt
Buddy Holly,The Byrds
Bush,Breaking Benjamin
Modest Mouse,Car Seat Headrest
The House of Love,Black Rebel Motorcycle Club
Manic Street Preachers,Muse
T. Rex,The Damned
Little Richard,Living Colour
Ramblin' Jack Elliott,John Renbourn
Billy Squier,Mr. Big
Jerry Reed,Rodney Crowell
John Fahey,M. Ward
Nick Drake,Lambchop
Brian Eno,The Blue Nile
Waylon Jennings,Lyle Lovett
East 17,Sugababes
Black Sabbath,Soulfly
Bruce Springsteen,The Waterboys
The Monochrome Set,Kaiser Chiefs
Ramones,The Replacements
Richie Havens,Jeff Buckley
The Mills Brothers,Take 6
Scott Walker,The Teardrop Explodes
Morcheeba,Hot Chip
Parliament,Larry Heard
Al Green,Justin Timberlake
Buffalo Springfield,Del Amitri
Jimmy Smith,Colosseum
Stonewall Jackson,Dwight Yoakam
Cream,The Allman Brothers Band
Bobby Womack,Robin Thicke
Angelic Upstarts,Fugazi
Eels,Midlake
Prince,Soul II Soul
Melvins,Alice in Chains
REO Speedwagon,Hootie & the Blowfish
Harry Nilsson,Sam Phillips
Neil Young,Gillian Welch
Parliament,Faith No More
The O'Jays,Gerald Levert
Glen Campbell,Larry Gatlin
"Blood, Sweat & Tears",Soulive
Dag Nasty,The Ataris
Hank Williams,Hawkshaw Hawkins
Bernard Herrmann,Brian Tyler
Coldplay,Hot Chelle Rae
The Hollies,Herman's Hermits
Doris Troy,Soft Cell
Bowling for Soup,Say Anything
The Everly Brothers,Chris Isaak
Blue Cheer,Monster Magnet
Marty Robbins,Jimmy Buffett
Tower of Power,Shalamar
Deep Purple,Saxon
The Rolling Stones,Slash
Aerosmith,Boston
Huey Lewis & the News,Maroon 5
Mario Lanza,Andrea Bocelli
The Wedding Present,Pavement
Del Shannon,Dave Edmunds
Pink Floyd,Air
The Cadillacs,Lou Reed
John Barry,Portishead
Led Zeppelin,Deep Purple
Siouxsie and the Banshees,Otep
Eagle-Eye Cherry,Norah Jones
Black Flag,Sleep
The New Lost City Ramblers,Terry Callier
Gram Parsons,Carlene Carter
The Drifters,Al Green
No Doubt,The Interrupters
Allen Toussaint,Bonnie Raitt
The Beatles,Steven Tyler
The Stanley Brothers,The Dillards
David Bowie,Glass Candy
Mike Seeger,Old & In the Way
Faron Young,Ronnie Milsap
The Hollies,Sweet
The Allman Brothers Band,The Radiators
Mary J. Blige,Faith Evans
Billy Paul,Amy Winehouse
Jimmy Cliff,Stiff Little Fingers
Pink Floyd,My Bloody Valentine
The Beatles,Pulp
Roy Harper,Pink Floyd
New Order,Metric
U2,The Fray
Gary Numan,Fischerspooner
Frankie Lymon,The Jackson 5
Jimi Hendrix,Graham Central Station
Javier Sols,Vicente Fernndez
The Beach Boys,Screaming Trees
The Beatles,Let's Active
Grand Funk Railroad,Buckcherry
Karen Dalton,Lacy J. Dalton
Bob Dylan,Scott Walker
The Brothers Johnson,Prince
Gary Numan,Franz Ferdinand
Soulfly,Killswitch Engage
Chuck Berry,Johnny Rivers
Aimee Mann,Michael Penn
Fleetwood Mac,Julian Lennon
The Runaways,Pat Benatar
Orange Juice,The Radio Dept.
Billy Eckstine,"Bobby ""Blue"" Bland"
Joni Mitchell,Annie Lennox
Rush,Planet P Project
The Guess Who,The Teardrop Explodes
Pantera,Staind
Chaka Khan,That Poppy
Roxy Music,The Monochrome Set
Laura Nyro,Joan Armatrading
Brian McKnight,Anthony Hamilton
Tortoise,Four Tet
Radiohead,Caribou
Funkadelic,Cameo
Judas Priest,Celtic Frost
Operation Ivy,Less Than Jake
Deborah Cox,Keyshia Cole
Neil Young,Ryan Adams
The Beach Boys,Daniel Johnston
The Toasters,Less Than Jake
Fats Domino,"Hank Williams, Jr."
Lightnin' Hopkins,Keith Richards
Sex Pistols,Discharge
T-Bone Walker,The Fabulous Thunderbirds
Cher,Britney Spears
Tito Puente,Pink Martini
Howlin' Wolf,Otis Rush
Harry Nilsson,The Millennium
Simon & Garfunkel,Captain & Tennille
Iggy Pop,Joey Ramone
The Beatles,Pearl Jam
Merle Haggard,Keith Whitley
Pet Shop Boys,Savage Garden
Cyndi Lauper,Sophie B. Hawkins
Gilberto Gil,Marisa Monte
Del McCoury,Chris Thile
The Clean,Guided by Voices
Third Eye Blind,The Dangerous Summer
Circle Jerks,Megadeth
Buffalo Springfield,Uncle Tupelo
AC/DC,Velvet Revolver
Eddy Arnold,George Jones
Cream,Joe Satriani
Steppenwolf,Wishbone Ash
Mel Torm,Jon Lucien
Frankie Carle,Liberace
Elmer Bernstein,Dick Hyman
Elis Regina,Gal Costa
Budgie,Danzig
Annie Lennox,Jessie Ware
Genesis,Styx
The Beach Boys,Joe Walsh
The Easybeats,Men at Work
Ike & Tina Turner,Billy Preston
The Beach Boys,Let's Active
America,Midlake
The Specials,Rancid
Boards of Canada,Grizzly Bear
The Cure,Throwing Muses
Robert Palmer,Robbie Williams
Randy Travis,Daryle Singletary
Tom Waits,Nick Cave
Freddie King,Stevie Ray Vaughan
The Beatles,Edwyn Collins
Little Jimmy Scott,Frankie Valli
Cilla Black,Tracey Ullman
Vincius de Moraes,Bebel Gilberto
Big Star,The Records
Ryan Adams,Laura Marling
The Who,Queen
Dr. John,Humble Pie
Biohazard,Killswitch Engage
Delaney & Bonnie,Joss Stone
The Stanley Brothers,The Everly Brothers
Jeff Wayne,Duncan Sheik
The Police,O.A.R.
Bruce Springsteen,Todd Snider
Simon & Garfunkel,Nick Drake
Stone Temple Pilots,The Killers
Coldplay,Olly Murs
The Beach Boys,The Dukes of Stratosphear
Simon & Garfunkel,Them
Skinny Puppy,808 State
Muddy Waters,Keith Richards
King Crimson,Return to Forever
The Kinks,The Boomtown Rats
The Isley Brothers,Keith Sweat
John Fahey,Sonic Youth
Barney Kessel,Charlie Barnet
Pete Seeger,The Limeliters
Keith Whitley,Josh Turner
Journey,Carlos Ponce
Frank Zappa,10cc
Muddy Waters,Little Milton
Johnny Cash,Ringo Starr
George Jones,Vince Gill
Joe Simon,Johnnie Taylor
Johnny Nash,Joan Armatrading
1910 Fruitgum Company,Ramones
Alex de Grassi,Kaki King
Jane's Addiction,Velvet Revolver
"Eddie ""Cleanhead"" Vinson",Cannonball Adderley
The Starting Line,Real Friends
Patsy Cline,K.T. Oslin
Black Flag,P.O.D.
Marvin Gaye,Creedence Clearwater Revival
The Kinks,10cc
NOFX,Yellowcard
Green Day,Simple Plan
Captain Beefheart,Trey Anastasio
Small Faces,Morrissey
Fugazi,Unwound
Howlin' Wolf,Crime & the City Solution
Sam Cooke,Rod Stewart
Burning Spear,Beenie Man
dith Piaf,Jeff Buckley
Marlene Dietrich,Grace Jones
Barenaked Ladies,Bowling for Soup
Billy Thorpe,Aldo Nova
Waylon Jennings,John Anderson
Chuck Berry,The Fugs
Oasis,Vision
Candi Staton,CeCe Winans
Lou Reed,Chuck Prophet
Faron Young,Don Gibson
